357	52	314	2456	1804	331
{41: 'Stand by Me (1986)'}	{3: 'Star Wars: Episode V - The Empire Strikes Back (1980)'}	{14: 'Godfather, The (1972)'}	{1: 'American Beauty (1999)'}	{394: 'Backdraft (1991)'}	{15: 'Braveheart (1995)'}
{66: 'Close Encounters of the Third Kind (1977)'}	{14: 'Godfather, The (1972)'}	{59: 'Lethal Weapon (1987)'}	"{56: ""Bug's Life, A (1998)""}"	{73: 'As Good As It Gets (1997)'}	{6: 'Silence of the Lambs, The (1991)'}
{19: 'Shakespeare in Love (1998)'}	{1: 'American Beauty (1999)'}	{16: 'Back to the Future (1985)'}	{82: 'Abyss, The (1989)'}	{60: 'Galaxy Quest (1999)'}	{16: 'Back to the Future (1985)'}
{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{12: 'Fargo (1996)'}	{70: 'Christmas Story, A (1983)'}	{63: 'Twelve Monkeys (1995)'}	{15: 'Braveheart (1995)'}	{1: 'American Beauty (1999)'}
{22: 'E.T. the Extra-Terrestrial (1982)'}	{13: 'Shawshank Redemption, The (1994)'}	{3: 'Star Wars: Episode V - The Empire Strikes Back (1980)'}	{21: 'Being John Malkovich (1999)'}	{5: 'Saving Private Ryan (1998)'}	{5: 'Saving Private Ryan (1998)'}
{16: 'Back to the Future (1985)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{29: 'Men in Black (1997)'}	"{10: ""Schindler's List (1993)""}"	"{10: ""Schindler's List (1993)""}"
{16: 'Back to the Future (1985)'}	{47: '2001: A Space Odyssey (1968)'}	{1: 'American Beauty (1999)'}	{52: 'Babe (1995)'}	{27: 'Forrest Gump (1994)'}	{5: 'Saving Private Ryan (1998)'}
{22: 'E.T. the Extra-Terrestrial (1982)'}	"{33: ""One Flew Over the Cuckoo's Nest (1975)""}"	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{15: 'Braveheart (1995)'}	{4: 'Raiders of the Lost Ark (1981)'}
{1: 'American Beauty (1999)'}	{17: 'L.A. Confidential (1997)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{1: 'American Beauty (1999)'}	{27: 'Forrest Gump (1994)'}	{5: 'Saving Private Ryan (1998)'}
{1: 'American Beauty (1999)'}	{37: 'Godfather: Part II, The (1974)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{1: 'American Beauty (1999)'}	{4: 'Raiders of the Lost Ark (1981)'}	{5: 'Saving Private Ryan (1998)'}
{1: 'American Beauty (1999)'}	{13: 'Shawshank Redemption, The (1994)'}	{18: 'Princess Bride, The (1987)'}	{19: 'Shakespeare in Love (1998)'}	{45: 'Hunt for Red October, The (1990)'}	{20: 'Pulp Fiction (1994)'}
{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{11: 'Terminator 2: Judgment Day (1991)'}	{9: 'Star Wars: Episode VI - Return of the Jedi (1983)'}	{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}	{15: 'Braveheart (1995)'}
{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{5: 'Saving Private Ryan (1998)'}	{4: 'Raiders of the Lost Ark (1981)'}	{19: 'Shakespeare in Love (1998)'}	{4: 'Raiders of the Lost Ark (1981)'}	{5: 'Saving Private Ryan (1998)'}
{1: 'American Beauty (1999)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}	{1: 'American Beauty (1999)'}
{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{8: 'Matrix, The (1999)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}
{1: 'American Beauty (1999)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{9: 'Star Wars: Episode VI - Return of the Jedi (1983)'}	{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}	{1: 'American Beauty (1999)'}
{116: 'African Queen, The (1951)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{1: 'American Beauty (1999)'}	{12: 'Fargo (1996)'}	{1: 'American Beauty (1999)'}
{7: 'Sixth Sense, The (1999)'}	"{33: ""One Flew Over the Cuckoo's Nest (1975)""}"	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{6: 'Silence of the Lambs, The (1991)'}	{1: 'American Beauty (1999)'}
{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{1: 'American Beauty (1999)'}	{16: 'Back to the Future (1985)'}	{1: 'American Beauty (1999)'}
